Rating,Size,Type_of_ownership,Industry,Sector,Revenue,Easy_Apply,Job_Title_simp,Job_Seniority,avg_salary,company_name,python_yn,R_yn,spark,aws,excel,job_state,job_headquarters,age_of_company,num_comp
3.4,1001 to 5000 employees,Company - Public,Consumer Products Manufacturing,Manufacturing,$2 to $5 billion (USD),1,data_analyst,manager,109.5,Church & Dwight,1,0,0,0,1,NJ, NJ,177,0
3.4,10000+ employees,Government,Federal Agencies,Government,Unknown / Non-Applicable,1,data_analyst,na,20,"Veterans Affairs, Veterans Health Administration",0,0,0,0,0,LA, DC,93,0
3.2,10000+ employees,Company - Public,"Department, Clothing, & Shoe Stores",Retail,$10+ billion (USD),1,data_scientist,jr,139,Walmart,0,0,0,0,0,TX, AR,61,3
2.5,1001 to 5000 employees,Company - Public,Advertising & Marketing,Business Services,$1 to $2 billion (USD),0,data_scientist,na,96.5,comScore,1,0,1,0,0,OR, VA,24,3
4,1001 to 5000 employees,Hospital,Health Care Services & Hospitals,Health Care,$50 to $100 million (USD),1,data_analyst,na,21.5,Texas Health Huguley Hospital,0,0,0,1,0,TX, TX,46,0
3.4,10000+ employees,Company - Public,Insurance Carriers,Insurance,$5 to $10 billion (USD),1,data_scientist,senior,110.5,Assurant,0,0,0,0,1,OH, NY,45,3
4.2,10000+ employees,Nonprofit Organization,Religious Organizations,Non-Profit,Unknown / Non-Applicable,1,data_analyst,na,50,The Church of Jesus Christ of Latter-day Saints,0,0,0,1,1,UT, UT,2024,0
3.2,1 to 50 employees,Company - Private,Staffing & Outsourcing,Business Services,$5 to $10 million (USD),1,data_engineer,na,91.5,"Numeric, LLC",1,0,1,1,1,PA, PA,2024,0
3.3,1 to 50 employees,Company - Private,Construction,"Construction, Repair & Maintenance",Unknown / Non-Applicable,0,data_analyst,na,26.5,Mcphail Associates,0,0,0,0,1,MA, MA,47,0
4.8,501 to 1000 employees,Company - Private,Security Services,Business Services,$100 to $500 million (USD),1,data_analyst,senior,61,KnowBe4,1,0,0,0,1,FL, FL,13,0
3.7,5001 to 10000 employees,Company - Public,Insurance Carriers,Insurance,$5 to $10 billion (USD),1,data_analyst,na,54,The Hanover Insurance Group,0,0,0,0,0,MA, MA,171,0
4.7,51 to 200 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD),1,data_scientist,director,140.5,Recursion Pharmaceuticals,1,0,0,1,0,UT, UT,10,0
4.2,201 to 500 employees,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,0,data_analyst,na,76,SullivanCotter,1,0,0,0,1,MN, IL,31,3
3.8,1001 to 5000 employees,Company - Private,Travel Agencies,Travel & Tourism,$2 to $5 billion (USD),0,data_scientist,na,74.5,Fareportal,1,0,1,0,0,NY, NY,21,3
3.8,1001 to 5000 employees,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),0,data_scientist,senior,119,PNNL,0,0,0,0,0,WA, WA,58,3
3.3,201 to 500 employees,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,1,data_scientist,na,164.5,Samba TV,0,0,0,0,0,CA, CA,15,0
3.1,5001 to 10000 employees,Company - Private,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),0,data_analyst,senior,74,Reynolds American,0,0,0,0,1,NC, NC,148,0
4.7,51 to 200 employees,Company - Private,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),0,data_scientist,na,79.5,Oversight Systems,1,0,0,0,1,GA, GA,20,0
3.8,501 to 1000 employees,Company - Private,Logistics & Supply Chain,Transportation & Logistics,Unknown / Non-Applicable,0,data_scientist,na,112.5,Truckstop.com,1,0,0,1,1,IL, ID,28,0
4.5,5001 to 10000 employees,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD),1,data_scientist,na,130,Johns Hopkins University Applied Physics Laboratory,1,0,0,0,1,MD, MD,81,3
3.5,51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,0,data_scientist,na,120.5,Scale AI,1,0,0,0,0,CA, CA,7,0
3.9,501 to 1000 employees,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),1,data_scientist,na,99,The Buffalo Group,1,0,0,0,1,VA, VA,13,3
